800,2376,1672
800,2352,1656
800,2328,1640
800,2304,1624
800,2280,1608
800,2256,1592
800,2232,1576
800,2208,1560
800,2184,1544
800,2160,1528
800,2136,1512
800,2112,1496
800,2088,1480
800,2064,1464
800,2040,1448
800,2016,1432
800,1992,1416
800,1968,1400
800,1944,1384
800,1920,1368
800,1896,1352
800,1872,1336
800,1848,1320
800,1824,1304
800,1800,1288
800,1776,1272
800,1752,1256
800,1728,1240
800,1704,1224
800,1680,1208
800,1656,1192
800,1632,1176
800,1608,1160
800,1584,1144
800,1560,1128
800,1536,1112
800,1512,1096
800,1488,1080
800,1464,1064
800,1440,1048
800,1416,1032
800,1392,1016
800,1368,1000
800,1344,984
800,1320,968
800,1296,952
800,1272,936
800,1248,920
800,1224,904
800,1200,888
800,1176,872
800,1152,856
800,1128,840
800,1104,824
800,1080,808
800,1056,792
800,1032,776
800,1008,760
800,984,744
800,960,728
800,936,712
800,912,696
800,888,680
800,864,664
800,840,648
800,816,632
800,792,616
800,768,600
800,744,584
800,720,568
800,696,552
800,672,536
800,648,520
800,624,504
800,600,488
800,576,472
800,552,456
800,528,440
800,504,424
800,480,408
800,456,392
800,432,376
800,408,360
800,384,344
800,360,328
800,336,312
800,312,296
800,288,280
800,264,264
800,240,248
800,216,232
800,192,216
800,168,200
800,144,184
800,120,168
800,96,152
800,72,136
800,48,120
800,24,104
